job_id,identity,script,dataset,model,condition,seed,required_input,status,arguments,depends_on
J001,stationary:dws:HM:full:42:13,evaluate_dws_HM.py,dws,HM,full,42,Datasets/DWS,pending,--variant 13,
J002,stationary:dws:HM:full:43:13,evaluate_dws_HM.py,dws,HM,full,43,Datasets/DWS,pending,--variant 13,
J003,stationary:dws:HM:full:44:13,evaluate_dws_HM.py,dws,HM,full,44,Datasets/DWS,pending,--variant 13,
J004,stationary:dws:HM:full:45:13,evaluate_dws_HM.py,dws,HM,full,45,Datasets/DWS,pending,--variant 13,
J005,stationary:dws:HM:full:46:13,evaluate_dws_HM.py,dws,HM,full,46,Datasets/DWS,pending,--variant 13,
J006,stationary:dws:RMTPP:full:42:13,evaluate_dws_RMTPP.py,dws,RMTPP,full,42,Datasets/DWS,pending,--variant 13,
J007,stationary:dws:RMTPP:full:43:13,evaluate_dws_RMTPP.py,dws,RMTPP,full,43,Datasets/DWS,pending,--variant 13,
J008,stationary:dws:RMTPP:full:44:13,evaluate_dws_RMTPP.py,dws,RMTPP,full,44,Datasets/DWS,pending,--variant 13,
J009,stationary:dws:RMTPP:full:45:13,evaluate_dws_RMTPP.py,dws,RMTPP,full,45,Datasets/DWS,pending,--variant 13,
J010,stationary:dws:RMTPP:full:46:13,evaluate_dws_RMTPP.py,dws,RMTPP,full,46,Datasets/DWS,pending,--variant 13,
J011,stationary:dws:FullyNN:full:42:13,evaluate_dws_FullyNN.py,dws,FullyNN,full,42,Datasets/DWS,pending,--variant 13,
J012,stationary:dws:FullyNN:full:43:13,evaluate_dws_FullyNN.py,dws,FullyNN,full,43,Datasets/DWS,pending,--variant 13,
J013,stationary:dws:FullyNN:full:44:13,evaluate_dws_FullyNN.py,dws,FullyNN,full,44,Datasets/DWS,pending,--variant 13,
J014,stationary:dws:FullyNN:full:45:13,evaluate_dws_FullyNN.py,dws,FullyNN,full,45,Datasets/DWS,pending,--variant 13,
J015,stationary:dws:FullyNN:full:46:13,evaluate_dws_FullyNN.py,dws,FullyNN,full,46,Datasets/DWS,pending,--variant 13,
J016,stationary:dws:THP:full:42:13,evaluate_dws_THP.py,dws,THP,full,42,Datasets/DWS,pending,--variant 13,
J017,stationary:dws:THP:full:43:13,evaluate_dws_THP.py,dws,THP,full,43,Datasets/DWS,pending,--variant 13,
J018,stationary:dws:THP:full:44:13,evaluate_dws_THP.py,dws,THP,full,44,Datasets/DWS,pending,--variant 13,
J019,stationary:dws:THP:full:45:13,evaluate_dws_THP.py,dws,THP,full,45,Datasets/DWS,pending,--variant 13,
J020,stationary:dws:THP:full:46:13,evaluate_dws_THP.py,dws,THP,full,46,Datasets/DWS,pending,--variant 13,
J021,stationary:dws:TPP_LLM:full:42:13,evaluate_dws_TPP_LLM.py,dws,TPP_LLM,full,42,Datasets/DWS,pending,--variant 13,
J022,stationary:dws:TPP_LLM:full:43:13,evaluate_dws_TPP_LLM.py,dws,TPP_LLM,full,43,Datasets/DWS,pending,--variant 13,
J023,stationary:dws:TPP_LLM:full:44:13,evaluate_dws_TPP_LLM.py,dws,TPP_LLM,full,44,Datasets/DWS,pending,--variant 13,
J024,stationary:dws:TPP_LLM:full:45:13,evaluate_dws_TPP_LLM.py,dws,TPP_LLM,full,45,Datasets/DWS,pending,--variant 13,
J025,stationary:dws:TPP_LLM:full:46:13,evaluate_dws_TPP_LLM.py,dws,TPP_LLM,full,46,Datasets/DWS,pending,--variant 13,
J026,stationary:retweet:HM:full:2024:,evaluate_retweet_HM.py,retweet,HM,full,2024,Datasets/retweet,pending,,
J027,stationary:retweet:HM:full:2025:,evaluate_retweet_HM.py,retweet,HM,full,2025,Datasets/retweet,pending,,
J028,stationary:retweet:HM:full:2026:,evaluate_retweet_HM.py,retweet,HM,full,2026,Datasets/retweet,pending,,
J029,stationary:retweet:RMTPP:full:2024:,evaluate_retweet_RMTPP.py,retweet,RMTPP,full,2024,Datasets/retweet,pending,,
J030,stationary:retweet:RMTPP:full:2025:,evaluate_retweet_RMTPP.py,retweet,RMTPP,full,2025,Datasets/retweet,pending,,
J031,stationary:retweet:RMTPP:full:2026:,evaluate_retweet_RMTPP.py,retweet,RMTPP,full,2026,Datasets/retweet,pending,,
J032,stationary:retweet:FullyNN:full:2024:,evaluate_retweet_FullyNN.py,retweet,FullyNN,full,2024,Datasets/retweet,pending,,
J033,stationary:retweet:FullyNN:full:2025:,evaluate_retweet_FullyNN.py,retweet,FullyNN,full,2025,Datasets/retweet,pending,,
J034,stationary:retweet:FullyNN:full:2026:,evaluate_retweet_FullyNN.py,retweet,FullyNN,full,2026,Datasets/retweet,pending,,
J035,stationary:retweet:THP:full:2024:,evaluate_retweet_THP.py,retweet,THP,full,2024,Datasets/retweet,pending,,
J036,stationary:retweet:THP:full:2025:,evaluate_retweet_THP.py,retweet,THP,full,2025,Datasets/retweet,pending,,
J037,stationary:retweet:THP:full:2026:,evaluate_retweet_THP.py,retweet,THP,full,2026,Datasets/retweet,pending,,
J038,stationary:retweet:TPP_LLM:full:2024:,evaluate_retweet_TPP_LLM.py,retweet,TPP_LLM,full,2024,Datasets/retweet,pending,,
J039,stationary:retweet:TPP_LLM:full:2025:,evaluate_retweet_TPP_LLM.py,retweet,TPP_LLM,full,2025,Datasets/retweet,pending,,
J040,stationary:retweet:TPP_LLM:full:2026:,evaluate_retweet_TPP_LLM.py,retweet,TPP_LLM,full,2026,Datasets/retweet,pending,,
J041,stationary:taobao:HM:full:2024:,evaluate_taobao_HM.py,taobao,HM,full,2024,Datasets/taobao,pending,,
J042,stationary:taobao:HM:full:2025:,evaluate_taobao_HM.py,taobao,HM,full,2025,Datasets/taobao,pending,,
J043,stationary:taobao:HM:full:2026:,evaluate_taobao_HM.py,taobao,HM,full,2026,Datasets/taobao,pending,,
J044,stationary:taobao:RMTPP:full:2024:,evaluate_taobao_RMTPP.py,taobao,RMTPP,full,2024,Datasets/taobao,pending,,
J045,stationary:taobao:RMTPP:full:2025:,evaluate_taobao_RMTPP.py,taobao,RMTPP,full,2025,Datasets/taobao,pending,,
J046,stationary:taobao:RMTPP:full:2026:,evaluate_taobao_RMTPP.py,taobao,RMTPP,full,2026,Datasets/taobao,pending,,
J047,stationary:taobao:FullyNN:full:2024:,evaluate_taobao_FullyNN.py,taobao,FullyNN,full,2024,Datasets/taobao,pending,,
J048,stationary:taobao:FullyNN:full:2025:,evaluate_taobao_FullyNN.py,taobao,FullyNN,full,2025,Datasets/taobao,pending,,
J049,stationary:taobao:FullyNN:full:2026:,evaluate_taobao_FullyNN.py,taobao,FullyNN,full,2026,Datasets/taobao,pending,,
J050,stationary:taobao:THP:full:2024:,evaluate_taobao_THP.py,taobao,THP,full,2024,Datasets/taobao,pending,,
J051,stationary:taobao:THP:full:2025:,evaluate_taobao_THP.py,taobao,THP,full,2025,Datasets/taobao,pending,,
J052,stationary:taobao:THP:full:2026:,evaluate_taobao_THP.py,taobao,THP,full,2026,Datasets/taobao,pending,,
J053,stationary:taobao:TPP_LLM:full:2024:,evaluate_taobao_TPP_LLM.py,taobao,TPP_LLM,full,2024,Datasets/taobao,pending,,
J054,stationary:taobao:TPP_LLM:full:2025:,evaluate_taobao_TPP_LLM.py,taobao,TPP_LLM,full,2025,Datasets/taobao,pending,,
J055,stationary:taobao:TPP_LLM:full:2026:,evaluate_taobao_TPP_LLM.py,taobao,TPP_LLM,full,2026,Datasets/taobao,pending,,
J056,stationary:stackoverflow:HM:full:2024:,evaluate_stackoverflow_HM.py,stackoverflow,HM,full,2024,Datasets/stackoverflow,pending,,
